=== DICCIONARIO DE DATOS COMPLETO — PLATAFORMA ZINCO (102 CAMPOS CONFIGURADOS) ===

CAMPO                               | ENTIDAD              | TIPO               | CARD    | HABEAS        | DESCRIPCIÓN
user_picture                        | user                 | image              | Card: 1  | HabeasData: NO  | Campo user_picture para entidad user
field_actor_del_cual_dep2nde        | zinco_actors_zincoactors | entity_reference   | Card: 1  | HabeasData: NO  | Campo field_actor_del_cual_dep2nde para entidad zinco_actors_zincoactors
field_actor_del_cual_depende        | zinco_actors_zincoactors | entity_reference   | Card: 1  | HabeasData: NO  | Campo field_actor_del_cual_depende para entidad zinco_actors_zincoactors
field_afiliacion_actual             | zinco_actors_zincoactors | string             | Card: 1  | HabeasData: NO  | Campo field_afiliacion_actual para entidad zinco_actors_zincoactors
field_caracter_academico            | zinco_actors_zincoactors | entity_reference   | Card: 1  | HabeasData: NO  | Campo field_caracter_academico para entidad zinco_actors_zincoactors
field_cargo_representante_legal     | zinco_actors_zincoactors | string             | Card: 1  | HabeasData: SÍ  | Campo field_cargo_representante_legal para entidad zinco_actors_zincoactors
field_clasificacion                 | zinco_actors_zincoactors | entity_reference   | Card: 1  | HabeasData: NO  | Campo field_clasificacion para entidad zinco_actors_zincoactors
field_entidad_lider                 | zinco_actors_zincoactors | entity_reference   | Card: 1  | HabeasData: NO  | Campo field_entidad_lider para entidad zinco_actors_zincoactors
field_estado_acreditacion           | zinco_actors_zincoactors | entity_reference   | Card: 1  | HabeasData: NO  | Campo field_estado_acreditacion para entidad zinco_actors_zincoactors
field_fecha_de_nacimiento           | zinco_actors_zincoactors | datetime           | Card: 1  | HabeasData: NO  | Campo field_fecha_de_nacimiento para entidad zinco_actors_zincoactors
field_formacion_academica           | zinco_actors_zincoactors | entity_reference_revisions | Card: -1 | HabeasData: NO  | Campo field_formacion_academica para entidad zinco_actors_zincoactors
field_mecanismos_de_financiamien    | zinco_actors_zincoactors | text               | Card: 1  | HabeasData: NO  | Campo field_mecanismos_de_financiamien para entidad zinco_actors_zincoactors
field_miembros_de_parque_tecnolo    | zinco_actors_zincoactors | entity_reference_revisions | Card: -1 | HabeasData: NO  | Campo field_miembros_de_parque_tecnolo para entidad zinco_actors_zincoactors
field_miembros_iep                  | zinco_actors_zincoactors | entity_reference_revisions | Card: 1  | HabeasData: NO  | Campo field_miembros_iep para entidad zinco_actors_zincoactors
field_mision                        | zinco_actors_zincoactors | string_long        | Card: 1  | HabeasData: NO  | Campo field_mision para entidad zinco_actors_zincoactors
field_mision_empresa                | zinco_actors_zincoactors | string_long        | Card: 1  | HabeasData: NO  | Campo field_mision_empresa para entidad zinco_actors_zincoactors
field_nacionalidad                  | zinco_actors_zincoactors | string             | Card: 1  | HabeasData: NO  | Campo field_nacionalidad para entidad zinco_actors_zincoactors
field_nivel_gobierno                | zinco_actors_zincoactors | entity_reference   | Card: 1  | HabeasData: NO  | Campo field_nivel_gobierno para entidad zinco_actors_zincoactors
field_nombre_o_razon_social         | zinco_actors_zincoactors | string             | Card: 1  | HabeasData: SÍ  | Campo field_nombre_o_razon_social para entidad zinco_actors_zincoactors
field_nombre_representante_legal    | zinco_actors_zincoactors | string             | Card: 1  | HabeasData: SÍ  | Campo field_nombre_representante_legal para entidad zinco_actors_zincoactors
field_normativas                    | zinco_actors_zincoactors | text               | Card: 1  | HabeasData: NO  | Campo field_normativas para entidad zinco_actors_zincoactors
field_representante_legal_empres    | zinco_actors_zincoactors | string             | Card: 1  | HabeasData: SÍ  | Campo field_representante_legal_empres para entidad zinco_actors_zincoactors
field_sede_principal                | zinco_actors_zincoactors | string             | Card: 1  | HabeasData: NO  | Campo field_sede_principal para entidad zinco_actors_zincoactors
field_siglas_empresa                | zinco_actors_zincoactors | string             | Card: 1  | HabeasData: NO  | Campo field_siglas_empresa para entidad zinco_actors_zincoactors
field_siglas_ies                    | zinco_actors_zincoactors | string             | Card: 1  | HabeasData: NO  | Campo field_siglas_ies para entidad zinco_actors_zincoactors
field_tipo_de_ies                   | zinco_actors_zincoactors | entity_reference   | Card: 1  | HabeasData: NO  | Campo field_tipo_de_ies para entidad zinco_actors_zincoactors
field_tipo_entidad                  | zinco_actors_zincoactors | entity_reference   | Card: 1  | HabeasData: NO  | Campo field_tipo_entidad para entidad zinco_actors_zincoactors
field_trayectoria_profesional       | zinco_actors_zincoactors | entity_reference_revisions | Card: -1 | HabeasData: NO  | Campo field_trayectoria_profesional para entidad zinco_actors_zincoactors
field_vision                        | zinco_actors_zincoactors | string_long        | Card: 1  | HabeasData: NO  | Campo field_vision para entidad zinco_actors_zincoactors
field_actores_proyectos             | zinco_proyectos_idi  | entity_reference   | Card: -1 | HabeasData: NO  | Campo field_actores_proyectos para entidad zinco_proyectos_idi
field_adjuntos_proyecto             | zinco_proyectos_idi  | file               | Card: 1  | HabeasData: NO  | Campo field_adjuntos_proyecto para entidad zinco_proyectos_idi
field_entregables_proyecto          | zinco_proyectos_idi  | string_long        | Card: 1  | HabeasData: NO  | Campo field_entregables_proyecto para entidad zinco_proyectos_idi
field_estado_proyecto               | zinco_proyectos_idi  | entity_reference   | Card: 1  | HabeasData: NO  | Campo field_estado_proyecto para entidad zinco_proyectos_idi
field_fecha_fin_proyecto            | zinco_proyectos_idi  | datetime           | Card: 1  | HabeasData: NO  | Campo field_fecha_fin_proyecto para entidad zinco_proyectos_idi
field_fecha_inicio_proyecto         | zinco_proyectos_idi  | datetime           | Card: 1  | HabeasData: NO  | Campo field_fecha_inicio_proyecto para entidad zinco_proyectos_idi
field_linea_de_investigacion        | zinco_proyectos_idi  | string_long        | Card: 1  | HabeasData: NO  | Campo field_linea_de_investigacion para entidad zinco_proyectos_idi
field_sector_economico_proyecto     | zinco_proyectos_idi  | entity_reference   | Card: 1  | HabeasData: NO  | Campo field_sector_economico_proyecto para entidad zinco_proyectos_idi
field_tecnologia_principal_proye    | zinco_proyectos_idi  | entity_reference   | Card: 1  | HabeasData: NO  | Campo field_tecnologia_principal_proye para entidad zinco_proyectos_idi
field_comentarios_evaluacion        | zinco_retos_evaluacion | string_long        | Card: 1  | HabeasData: NO  | Campo field_comentarios_evaluacion para entidad zinco_retos_evaluacion
field_evaluador                     | zinco_retos_evaluacion | entity_reference   | Card: 1  | HabeasData: NO  | Campo field_evaluador para entidad zinco_retos_evaluacion
field_fecha_de_evaluacion           | zinco_retos_evaluacion | datetime           | Card: 1  | HabeasData: NO  | Campo field_fecha_de_evaluacion para entidad zinco_retos_evaluacion
field_puntuacion_de_solucion        | zinco_retos_evaluacion | entity_reference_revisions | Card: -1 | HabeasData: NO  | Campo field_puntuacion_de_solucion para entidad zinco_retos_evaluacion
field_solucion_evaluada             | zinco_retos_evaluacion | entity_reference   | Card: 1  | HabeasData: NO  | Campo field_solucion_evaluada para entidad zinco_retos_evaluacion
field_archvos_solucion              | zinco_retos_soluciones | file               | Card: 10 | HabeasData: NO  | Campo field_archvos_solucion para entidad zinco_retos_soluciones
field_autores_solucion              | zinco_retos_soluciones | entity_reference   | Card: -1 | HabeasData: SÍ  | Campo field_autores_solucion para entidad zinco_retos_soluciones
field_estado_postulacion_idea       | zinco_retos_soluciones | entity_reference   | Card: 1  | HabeasData: NO  | Campo field_estado_postulacion_idea para entidad zinco_retos_soluciones
field_reto_asociado                 | zinco_retos_soluciones | entity_reference   | Card: 1  | HabeasData: NO  | Campo field_reto_asociado para entidad zinco_retos_soluciones
field_retroalimentacion             | zinco_retos_soluciones | string_long        | Card: 1  | HabeasData: NO  | Campo field_retroalimentacion para entidad zinco_retos_soluciones
field_revisores_postulacion         | zinco_retos_soluciones | entity_reference   | Card: 3  | HabeasData: NO  | Campo field_revisores_postulacion para entidad zinco_retos_soluciones
